OID,Site,Latitude,Longitude,Site_1,RASTERVALU
0,Site01,34.01707,-118.28868,Site01,0.187929
1,Site03,34.034,-118.281,Site03,0.199407
2,Site04,34.118,-118.284,Site04,0.290249
3,Site05,34.093,-118.274,Site05,0.268562
4,Site06,34.116,-118.279,Site06,0.285587
5,Site07,34.10189,-118.25658,Site07,0.311354
6,Site08,34.03,-118.327,Site08,0.150525
7,Site09,34.103,-118.243,Site09,0.321101
8,Site10,34.014,-118.321,Site10,0.153323
9,Site11,34.072,-118.291,Site11,0.216215
10,Site12,34.047,-118.334,Site12,0.15138
11,Site13,34.149,-118.218,Site13,0.42484
12,Site14,34.078,-118.234,Site14,0.331259
13,Site15,33.876,-118.288,Site15,0.140475
14,Site16,34.095,-118.334,Site16,0.197253
15,Site17,34.159,-118.247,Site17,0.368373
16,Site18,34.077,-118.32,Site18,0.190472
17,Site19,34.059,-118.369,Site19,0.130673
18,Site20,34.112,-118.293,Site20,0.256734
19,Site21,34.17,-118.308,Site21,0.388115
20,Site22,34.074,-118.264,Site22,0.27191
21,Site23,34.114,-118.251,Site23,0.316391
22,Site24,34.136,-118.194,Site24,0.414206
23,Site25,34.046,-118.275,Site25,0.21969
24,Site26,34.058,-118.328,Site26,0.166523
25,Site27,34.111,-118.23,Site27,0.367932
26,Site28,34.129,-118.215,Site28,0.367571
27,Site29,34.123,-118.193,Site29,0.402457
28,Site30,34.125,-118.189,Site30,0.41401
29,Site31,34.075,-118.328,Site31,0.183663
30,Site32,34.02081,-118.4887,Site32,0.0277691
31,Site33,34.16208,-118.11752,Site33,0.468155
32,Site34,34.0496,-118.1079,Site34,0.346736
33,Site35,34.15803,-117.99927,Site35,0.447283
34,Site36,34.08606,-117.82154,Site36,0.575568
35,Site37,34.08942,-117.71109,Site37,0.664629
36,Site38,34.13919,-117.52096,Site38,0.857075
37,Site39,34.02338,-117.31523,Site39,0.919275
38,Site40,33.9248,-118.42474,Site40,0.0219313
39,Site41,33.88431,-118.28663,Site41,0.141762
40,Site42,33.84188,-118.10055,Site42,0.076193
41,Site43,33.91429,-118.00502,Site43,0.19548
42,Site44,33.99783,-117.84232,Site44,0.527383
43,Site45,34.00275,-117.73405,Site45,0.685401
44,Site46,33.91201,-117.57018,Site46,0.594037
45,Site47,33.98385,-117.31342,Site47,0.913084
46,Site48,34.167,-118.513,Site48,0.446734
47,Site49,34.26,-118.601,Site49,0.545956
48,Site50,34.165,-118.323,Site50,0.387146
49,Site51,33.986,-118.342,Site51,0.146977
50,Site52,34.136,-118.247,Site52,0.336759
51,Site53,34.143,-118.464,Site53,0.411977
52,Site54,34.227,-118.61,Site54,0.53776
53,Site55,33.87118,-118.331,Site55,0.0949885
54,Site56,33.954,-118.29,Site56,0.186809
55,Site57,34.171,-118.398,Site57,0.386133
56,Site58,34.016,-118.327,Site58,0.148823
57,Site59,33.932,-118.259,Site59,0.186932
58,Site60,34.247,-118.508,Site60,0.498748
59,Site61,34.244,-118.579,Site61,0.522353
60,Site62,34.163,-118.356,Site62,0.364827
61,Site63,33.95,-118.184,Site63,0.199817